noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst,event_tags,primary_tag,primary_tag_ko,crowd_relevance,has_protest_kw,has_nonstop_kw,has_event_kw
2021-02-10T17:56:11,20210210,6,기타,장애인 단체 시위 종료,"4호선 당고개역에서 서울역간 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위는 17:48 부로 종료 되었으며, 시위 여파로 인하여 4호선 전구간 열차가 지연운행 되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 17:53:00",N,,,,4호선,전구간,protest,protest,시위·집회,medium,true,false,false
2021-03-09T19:08:30,20210309,6,기타,7호선 상도역 무정차 통과,"7호선 상동역 연기발샏 관련 안전조치 관계로 18:50부터 상동역(상하선) 무정차 통과하고 있으니 열차이용에 참고바랍니다. 열차이용에 불편을 드려 죄송합니다.  
-서울교통공사- 03-09 19:05:06",Y,"상행, 하행",,,7호선,3758,nonstop,nonstop,무정차,medium,false,true,false
2021-03-09T19:20:15,20210309,6,기타,7호선 상동역 정상운행,7호선 상동역 연기발생 관련 무정차 통과는 19:05경부터 정상 운행하고 있습니다. 열차 이용에 참고하시기 바랍니다. -서울교통공사- 03-09 19:16:50,Y,,,2021-03-09T19:05:00,7호선,3758,nonstop,nonstop,무정차,medium,false,true,false
2021-03-12T10:00:45,20210312,6,기타,5호선 장애인단체 열차시위 사전예고,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 5호선 동대문역사문화공원역에서 여의도역까지 &quot;장애인 이동권 요구&quot; 지하철타기 시위가 있을 예정입니다.
이에 따라 5호선 동대문역사문화공원역에서 여의도역 간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.-서울교통공사 종합관제단 03-12 10:01:19",N,,,,5호선,"2537, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2529, 2528, 2527",protest,protest,시위·집회,medium,true,false,false
2021-03-12T11:59:00,20210312,6,기타,5호선 장애인단체 열차시위 사전예고,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 5호선 동대문역사문화공원역에서 여의도역까지 &quot;장애인 이동권 요구&quot; 지하철타기 시위가 있을 예정입니다.
이에 따라 5호선 동대문역사문화공원역에서 여의도역 간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.-서울교통공사 종합관제단 03-12 11:59:33",N,,,,5호선,"2537, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2529, 2528, 2527",protest,protest,시위·집회,medium,true,false,false
2021-03-12T13:57:16,20210312,6,기타,5호선 장애인단체 열차시위 사전예고,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 5호선 동대문역사문화공원역에서 여의도역까지 &quot;장애인 이동권 요구&quot; 지하철타기 시위가 있을 예정입니다.
이에 따라 5호선 동대문역사문화공원역에서 여의도역 간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.-서울교통공사 종합관제단 03-12 11:59:33 03-12 13:57:49",N,,,,5호선,"2537, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2529, 2528, 2527",protest,protest,시위·집회,medium,true,false,false
2021-03-12T14:32:56,20210312,5,단순지연,장애인 이동권 요구로 5호선 열차 지연,"서울교통공사에서 알려드립니다.
현재 5호선 동대문역사문화공원역에서 여의도역까지 &quot;장애인 이동권 요구&quot; 지하철타기 시위가 진행되고 있습니다.
이에 따라 5호선 동대문역사문화공원역에서 여의도역간 열차운행이 지연되고 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다. 03-12 14:33:29",N,,,,5호선,"2537, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2529, 2528, 2527",protest,protest,시위·집회,medium,true,false,false
2021-03-12T15:00:00,20210312,5,단순지연,장애인 이동권 요구로 5호선 열차 지연,"서울교통공사에서 알려드립니다.
현재 5호선 동대문역사문화공원역에서 여의도역까지 &quot;장애인 이동권 요구&quot; 지하철타기 시위가 진행되고 있습니다.
이에 따라 5호선 동대문역사문화공원역에서 여의도역간 열차운행이 지연되고 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다. 03-12 15:00:00",N,,,,5호선,"2537, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2529, 2528, 2527",protest,protest,시위·집회,medium,true,false,false
2021-03-12T15:22:02,20210312,6,기타,장애인 시위 종료,"서울교통공사에서 알려드립니다.
장애인단체의 지하철타기 시위는 15:10경 종료되었으며 시위의 영향으로 지연되고 있는 5호선 열차의 운행시격 회복을 위해 최선을 다하고 있습니다. 열차이용에 불편을 드려 대단히 죄송합니다. 03-12 15:22:35",N,,,,5호선,,protest,protest,시위·집회,medium,true,false,false
2021-06-04T10:00:44,20210604,6,기타,장애인단체 장애인 이동권 보장 요구 4호선 열차 시위 사전예고,"서울교통공사에서 알려드립니다
오늘 오후 2시부터 4호선 혜화역에서 서울역까지 ""장애인 이동권 보장"" 지하철 타기가 있을 예정입니다.
이에 따라 4호선 혜화역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 10:00:03",N,,,,4호선,"0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-06-04T12:00:47,20210604,6,기타,장애인단체 장애인 이동권 보장 요구 4호선 열차 시위 사전예고,"서울교통공사에서 알려드립니다
오늘 오후 2시부터 4호선 혜화역에서 서울역까지 ""장애인 이동권 보장"" 지하철 타기가 있을 예정입니다.
이에 따라 4호선 혜화역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 12:00:06",N,,,,4호선,"0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-06-04T13:56:40,20210604,6,기타,장애인단체 장애인 이동권 보장 요구 4호선 열차 시위 사전예고,"서울교통공사에서 알려드립니다
오늘 오후 2시부터 4호선 혜화역에서 서울역까지 ""장애인 이동권 보장"" 지하철 타기가 있을 예정입니다.
이에 따라 4호선 혜화역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 12:00:06 06-04 13:55:59",N,,,,4호선,"0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-06-04T14:20:46,20210604,5,단순지연,장애인단체 장애인 이동권 보장 4호선 열차 시위로 열차지연,"서울교통공사에서 알려드립니다
오늘 오후 2시부터 4호선 혜화역에서 서울역까지 ""장애인 이동권 보장"" 지하철 타기가 진행되고 있습니다.
이에 따라 4호선 혜화역에서 서울역간 열차운행이 지연되고 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다.  06-04 14:20:04",N,,,,4호선,"0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-06-04T14:29:18,20210604,5,단순지연,장애인단체 장애인 이동권 보장 4호선 열차 시위로 열차지연,"서울교통공사에서 알려드립니다
오늘 오후 2시부터 4호선 혜화역에서 서울역까지 ""장애인 이동권 보장"" 지하철 타기가 진행되고 있습니다.
이에 따라 4호선 혜화역에서 서울역간 열차운행이 지연되고 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다.  06-04 14:20:04 06-04 14:28:37",N,,,,4호선,"0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-06-04T15:07:08,20210604,5,단순지연,장애인단체 장애인 이동권 보장 1호선 및 4호선 열차 시위로 열차지연,"서울교통공사에서 알려드립니다
현재 1호선 및 4호선에서 ""장애인 이동권 보장"" 지하철 타기가 진행되고 있습니다.
이에 따라 1호선 및 4호선 열차운행이 지연되고 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 15:06:27",N,,,,"1호선, 4호선",,protest,protest,시위·집회,medium,true,false,false
2021-06-04T15:27:14,20210604,5,단순지연,장애인단체 장애인 이동권 보장 1호선 열차 시위로 열차지연,"서울교통공사에서 알려드립니다
현재 1호선 시청역에서 ""장애인 이동권 보장"" 지하철 타기가 진행되고 있습니다.
이에 따라 1호선 구간 열차운행이 지연되고 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 15:26:33",N,,,,1호선,0151,protest,protest,시위·집회,medium,true,false,false
2021-06-04T16:13:43,20210604,5,단순지연,장애인단체 이동권 보장 1호선 불법 시위로 열차지연,"서울교통공사에서 알려드립니다
현재 1호선 시청역에서 ""장애인 이동권 보장"" 불법시위가 진행되고 있습니다.
이에 따라 1호선 전구간 열차운행이 지연되고 있사오니
이점 참고하시어 열차를 이용하여 주시기 바랍니다. 06-04 16:13:01",N,,,,1호선,전구간,protest,protest,시위·집회,medium,true,false,false
2021-06-04T16:29:09,20210604,6,기타,장애인단체 이동권 보장 시위관련 1호선 시청역 하선 무정차 통과,"서울교통공사에서 알려드립니다.
장애인단체의 이동권 보장 시위관련 1호선 시청역 하선 무정차 통과 중입니다. 열차이용에 불편을 드려 대단히 죄송합니다. 06-04 16:28:27",Y,하행,,,1호선,0151,protest;nonstop,protest,시위·집회,high,true,true,false
2021-06-04T16:56:39,20210604,6,기타,1호선 시청역 하선 장애인 단체 시위 종료 및 열차 정상운행,"서울교통공사에서 알려드립니다.
1호선 시청역 하선 장애인 단체 시위는 16:53경 종료되었으며, 1호선 전구간 열차 정상운행되고 있습니다.
열차이용에 불편을 드려 대단히 죄송합니다.  06-04 16:55:58",N,하행,,,1호선,전구간,protest,protest,시위·집회,medium,true,false,false
